,ABSTRCT,ACQUA,AEC,AFS,ARGUMINSCI,FINARG,IAM,PE,SCIARK,USELEC
ABSTRCT,1.0,0.1350832266325224,0.1466854724964739,0.1513157894736842,0.18275418275418276,0.1541095890410959,0.20469596628537026,0.16666666666666666,0.2669491525423729,0.12813171080887617
ACQUA,0.1350832266325224,1.0,0.2625838926174497,0.2569444444444444,0.18169304886441845,0.29900332225913623,0.2247557003257329,0.25371965544244324,0.16893894487255484,0.2597402597402597
AEC,0.1466854724964739,0.2625838926174497,1.0,0.5373443983402489,0.18401206636500755,0.2719928186714542,0.3030075187969925,0.3005366726296959,0.18429591174561974,0.3610822060353798
AFS,0.1513157894736842,0.2569444444444444,0.5373443983402489,1.0,0.1829608938547486,0.27883817427385893,0.3446777697320782,0.3338968723584108,0.20830750154990701,0.3716475095785441
ARGUMINSCI,0.18275418275418276,0.18169304886441845,0.18401206636500755,0.1829608938547486,1.0,0.18731778425655976,0.21410736579275905,0.18492176386913228,0.2146690518783542,0.15765422696115766
FINARG,0.1541095890410959,0.29900332225913623,0.2719928186714542,0.27883817427385893,0.18731778425655976,1.0,0.27635327635327633,0.3009458297506449,0.21391752577319587,0.30813397129186604
IAM,0.20469596628537026,0.2247557003257329,0.3030075187969925,0.3446777697320782,0.21410736579275905,0.27635327635327633,1.0,0.39938791124713086,0.35135135135135137,0.2857142857142857
PE,0.16666666666666666,0.25371965544244324,0.3005366726296959,0.3338968723584108,0.18492176386913228,0.3009458297506449,0.39938791124713086,1.0,0.26798679867986797,0.30362116991643456
SCIARK,0.2669491525423729,0.16893894487255484,0.18429591174561974,0.20830750154990701,0.2146690518783542,0.21391752577319587,0.35135135135135137,0.26798679867986797,1.0,0.18175765645805592
USELEC,0.12813171080887617,0.2597402597402597,0.3610822060353798,0.3716475095785441,0.15765422696115766,0.30813397129186604,0.2857142857142857,0.30362116991643456,0.18175765645805592,1.0
