train_dataset,model,test_dataset,manipulation,macro_f1,accuracy,arg_f1,noarg_f1,arg_precision,arg_recall,is_in_domain
ABSTRCT,ministral_8b,ABSTRCT,original,0.7916666666666667,0.8,0.8333333333333334,0.75,0.7142857142857143,1.0,True
ABSTRCT,ministral_8b,ABSTRCT,content_only,0.898989898989899,0.9,0.9090909090909091,0.8888888888888888,0.8333333333333334,1.0,True
ABSTRCT,ministral_8b,ABSTRCT,shuffle,0.6419437340153453,0.65,0.6956521739130435,0.5882352941176471,0.6153846153846154,0.8,True
ABSTRCT,ministral_8b,ACQUA,original,0.5238095238095238,0.6,0.7142857142857143,0.3333333333333333,0.5555555555555556,1.0,False
ABSTRCT,ministral_8b,ACQUA,content_only,0.4357366771159875,0.55,0.6896551724137931,0.18181818181818182,0.5263157894736842,1.0,False
ABSTRCT,ministral_8b,ACQUA,shuffle,0.48717948717948717,0.55,0.6666666666666666,0.3076923076923077,0.5294117647058824,0.9,False
ABSTRCT,ministral_8b,AEC,original,0.3333333333333333,0.5,0.6666666666666666,0.0,0.5,1.0,False
ABSTRCT,ministral_8b,AEC,content_only,0.4357366771159875,0.55,0.6896551724137931,0.18181818181818182,0.5263157894736842,1.0,False
ABSTRCT,ministral_8b,AEC,shuffle,0.4357366771159875,0.55,0.6896551724137931,0.18181818181818182,0.5263157894736842,1.0,False
ABSTRCT,ministral_8b,AFS,original,0.3333333333333333,0.5,0.6666666666666666,0.0,0.5,1.0,False
ABSTRCT,ministral_8b,AFS,content_only,0.3333333333333333,0.5,0.6666666666666666,0.0,0.5,1.0,False
ABSTRCT,ministral_8b,AFS,shuffle,0.4357366771159875,0.55,0.6896551724137931,0.18181818181818182,0.5263157894736842,1.0,False
ABSTRCT,ministral_8b,ARGUMINSCI,original,0.7442455242966752,0.75,0.782608695652174,0.7058823529411765,0.6923076923076923,0.9,False
ABSTRCT,ministral_8b,ARGUMINSCI,content_only,0.7442455242966752,0.75,0.782608695652174,0.7058823529411765,0.6923076923076923,0.9,False
ABSTRCT,ministral_8b,ARGUMINSCI,shuffle,0.849624060150376,0.85,0.8571428571428571,0.8421052631578947,0.8181818181818182,0.9,False
ABSTRCT,ministral_8b,FINARG,original,0.4357366771159875,0.55,0.6896551724137931,0.18181818181818182,0.5263157894736842,1.0,False
ABSTRCT,ministral_8b,FINARG,content_only,0.5604395604395604,0.6,0.6923076923076923,0.42857142857142855,0.5625,0.9,False
ABSTRCT,ministral_8b,FINARG,shuffle,0.4357366771159875,0.55,0.6896551724137931,0.18181818181818182,0.5263157894736842,1.0,False
ABSTRCT,ministral_8b,IAM,original,0.4357366771159875,0.55,0.6896551724137931,0.18181818181818182,0.5263157894736842,1.0,False
ABSTRCT,ministral_8b,IAM,content_only,0.4357366771159875,0.55,0.6896551724137931,0.18181818181818182,0.5263157894736842,1.0,False
ABSTRCT,ministral_8b,IAM,shuffle,0.45054945054945056,0.5,0.6153846153846154,0.2857142857142857,0.5,0.8,False
ABSTRCT,ministral_8b,PE,original,0.5238095238095238,0.6,0.7142857142857143,0.3333333333333333,0.5555555555555556,1.0,False
ABSTRCT,ministral_8b,PE,content_only,0.4357366771159875,0.55,0.6896551724137931,0.18181818181818182,0.5263157894736842,1.0,False
ABSTRCT,ministral_8b,PE,shuffle,0.48717948717948717,0.55,0.6666666666666666,0.3076923076923077,0.5294117647058824,0.9,False
ABSTRCT,ministral_8b,SCIARK,original,0.6703296703296704,0.7,0.7692307692307693,0.5714285714285714,0.625,1.0,False
ABSTRCT,ministral_8b,SCIARK,content_only,0.6703296703296704,0.7,0.7692307692307693,0.5714285714285714,0.625,1.0,False
ABSTRCT,ministral_8b,SCIARK,shuffle,0.5238095238095238,0.6,0.7142857142857143,0.3333333333333333,0.5555555555555556,1.0,False
ABSTRCT,ministral_8b,USELEC,original,0.5238095238095238,0.6,0.7142857142857143,0.3333333333333333,0.5555555555555556,1.0,False
ABSTRCT,ministral_8b,USELEC,content_only,0.3103448275862069,0.45,0.6206896551724138,0.0,0.47368421052631576,0.9,False
ABSTRCT,ministral_8b,USELEC,shuffle,0.3333333333333333,0.5,0.6666666666666666,0.0,0.5,1.0,False
