model_dir,context,ABSTRCT,ACQUA,AEC,AFS,ARGUMINSCI,FINARG,IAM,PE,SCIARK,USELEC,Avg
gpt_5_2_openai,c0,0.692,0.618,0.562,0.569,0.524,0.405,0.563,0.666,0.601,0.472,0.567
gpt_5_2_openai,c1,0.663,0.749,0.498,0.767,0.917,0.438,0.764,0.6,0.717,0.63,0.674
gpt_5_2_openai,c2,0.883,,,,0.883,,,0.583,,0.649,0.75
gpt_5_2_openai,c3,0.917,,,,0.847,,,0.524,,0.738,0.757
ministral_8b,c0,0.738,0.748,0.451,0.514,0.496,0.426,0.764,0.676,0.729,0.52,0.606
ministral_8b,c1,0.833,0.744,0.498,0.699,0.733,0.542,0.681,0.697,0.633,0.58,0.664
ministral_8b,c2,0.95,,,,0.668,,,0.603,,0.679,0.725
ministral_8b,c3,0.9,,,,0.733,,,0.474,,0.619,0.682
mistral_medium,c0,0.764,0.732,0.444,0.451,0.576,0.365,0.661,0.641,0.867,0.562,0.606
mistral_medium,c1,0.9,0.764,0.486,0.766,0.757,0.583,0.782,0.603,0.783,0.614,0.704
mistral_medium,c2,0.917,,,,0.753,,,0.569,,0.71,0.737
mistral_medium,c3,0.933,,,,0.753,,,0.547,,0.698,0.733
